Flight Leg ID;Leg Origin;Leg Destination;Dep Day [0-7];Arr Day [0-7];Flight ID;Pos in Flight;Rotation ID (not applicable);Flight leg Type;Aircraft Type;Payload costs [€/kg];Flight costs [€];Flight Leg Capacity [kg];Realization;;;
1;FRA;LIN;6.378472222;6.427083333;1;1;2;F;319;0;0;500;optional;;;
2;LIN;FRA;6.451388889;6.510416667;1;2;2;F;319;0;0;500;optional;;;
3;FRA;LHR;6.583333333;6.666666667;2;1;2;F;319;0;0;4000;optional;;;
4;LHR;FRA;6.694444444;6.774305556;2;2;2;F;319;0;0;4000;optional;;;
5;FRA;DUS;0.284722222;0.319444444;3;1;2;F;319;0;0;3000;optional;;;
6;DUS;FRA;0.347222222;0.388888889;4;1;2;F;319;0;0;3000;optional;;;
7;FRA;STR;0.642361111;0.670138889;5;1;3;F;319;0;0;500;optional;;;
8;STR;FRA;0.694444444;0.732638889;5;2;3;F;319;0;0;500;optional;;;
9;FRA;MUC;5.368055556;5.399305556;6;1;4;F;319;0;0;1500;optional;;;
10;MUC;FRA;5.423611111;5.458333333;6;2;4;F;319;0;0;1500;optional;;;
11;FRA;LIN;0.829861111;0.902777778;7;1;5;F;319;0;0;1000;optional;;;
12;LIN;FRA;1.1875;1.277777778;7;2;5;F;319;0;0;1000;optional;;;
13;FRA;LIN;0.21875;0.267361111;8;1;6;F;319;0;0;1500;optional;;;
14;LIN;FRA;0.291666667;0.354166667;8;2;6;F;319;0;0;1500;optional;;;
15;FRA;TUN;2.295138889;2.413194444;9;1;7;F;319;0;0;3500;optional;;;
16;TUN;FRA;2.454861111;2.586805556;9;2;7;F;319;0;0;3500;optional;;;
17;FRA;LIN;2.618055556;2.673611111;10;1;7;F;319;0;0;1500;optional;;;
18;LIN;FRA;2.708333333;2.774305556;10;2;7;F;319;0;0;1500;optional;;;
19;FRA;LIN;6.635416667;6.6875;11;1;8;F;319;0;0;1000;optional;;;
20;LIN;FRA;6.715277778;6.774305556;11;2;8;F;319;0;0;1000;optional;;;
21;FRA;BGW;5.340277778;5.520833333;12;1;9;F;319;0;0;2000;optional;;;
22;BGW;FRA;5.5625;5.770833333;12;2;9;F;319;0;0;2000;optional;;;
