Flughafen;Handlingtyp+Priorität+Transporttyps;Dauer
AAL;importmailC;0.0625
AAL;importmailE;0.0625
AAL;importmailF;0.0625
AAL;importmailRFS;0.0625
AAL;importstandardC;0.0625
AAL;importstandardE;0.0625
AAL;importstandardF;0.0625
AAL;importstandardRFS;0.0625
AAR;importmailC;0.0625
AAR;importmailE;0.0625
AAR;importmailF;0.0625
AAR;importmailRFS;0.0625
AAR;importstandardC;0.0625
AAR;importstandardE;0.0625
AAR;importstandardF;0.0625
AAR;importstandardRFS;0.0625
ABE;exportmailE;0.125
ABE;exportmailRFS;0.125
ABE;exportpremiumE;0.25
ABE;exportpremiumRFS;0.25
ABE;exportstandardE;0.125
ABE;exportstandardRFS;0.125
ABE;importmailE;0.125
ABE;importmailRFS;0.125
ABE;importpremiumE;0.25
ABE;importpremiumRFS;0.25
ABE;importstandardE;0.125
ABE;importstandardRFS;0.125
ABE;transfermailEE;0.25
ABE;transfermailERFS;0.25
ABE;transfermailRFSE;0.25
ABE;transfermailRFSRFS;0.25
ABE;transferpremiumEE;0.5
ABE;transferpremiumERFS;0.5
ABE;transferpremiumRFSE;0.5
ABE;transferpremiumRFSRFS;0.5
ABE;transferstandardEE;0.25
ABE;transferstandardERFS;0.25
ABE;transferstandardRFSE;0.25
ABE;transferstandardRFSRFS;0.25
ABQ;exportmailRFS;0.125
ABQ;exportpremiumRFS;0.125
ABQ;exportstandardRFS;0.125
ABQ;importmailRFS;0.125
ABQ;importpremiumRFS;0.125
ABQ;importstandardRFS;0.125
ABV;exportmailC;0.041666667
ABV;exportmailE;0.041666667
ABV;exportmailF;0.041666667
ABV;exportmailRFS;0.041666667
ABV;exportpremiumC;0.0625
ABV;exportpremiumE;0.0625
ABV;exportpremiumF;0.0625
ABV;exportpremiumRFS;0.0625
ABV;exportstandardC;0.041666667
ABV;exportstandardE;0.041666667
ABV;exportstandardF;0.041666667
ABV;exportstandardRFS;0.041666667
ABV;importmailC;0.520833333
ABV;importmailE;0.520833333
ABV;importmailF;0.520833333
ABV;importmailRFS;0.520833333
ABV;importpremiumC;0.541666667
ABV;importpremiumE;0.541666667
ABV;importpremiumF;0.541666667
ABV;importpremiumRFS;0.541666667
ABV;importstandardC;0.520833333
ABV;importstandardE;0.520833333
ABV;importstandardF;0.520833333
ABV;importstandardRFS;0.520833333
ABV;transfermailCC;0.291666667
ABV;transfermailCE;0.291666667
ABV;transfermailCF;0.291666667
ABV;transfermailCRFS;0.291666667
ABV;transfermailEC;0.291666667
ABV;transfermailEE;0.291666667
ABV;transfermailEF;0.291666667
ABV;transfermailERFS;0.291666667
ABV;transfermailFC;0.291666667
ABV;transfermailFE;0.291666667
ABV;transfermailFF;0.291666667
ABV;transfermailFRFS;0.291666667
ABV;transfermailRFSC;0.291666667
ABV;transfermailRFSE;0.291666667
ABV;transfermailRFSF;0.291666667
ABV;transfermailRFSRFS;0.291666667
ABV;transferpremiumCC;0.333333333
ABV;transferpremiumCE;0.333333333
ABV;transferpremiumCF;0.333333333
ABV;transferpremiumCRFS;0.333333333
ABV;transferpremiumEC;0.333333333
ABV;transferpremiumEE;0.333333333
ABV;transferpremiumEF;0.333333333
ABV;transferpremiumERFS;0.333333333
ABV;transferpremiumFC;0.333333333
ABV;transferpremiumFE;0.333333333
ABV;transferpremiumFF;0.333333333
ABV;transferpremiumFRFS;0.333333333
ABV;transferpremiumRFSC;0.333333333
ABV;transferpremiumRFSE;0.333333333
ABV;transferpremiumRFSF;0.333333333
ABV;transferpremiumRFSRFS;0.333333333
ABV;transferstandardCC;0.291666667
ABV;transferstandardCE;0.291666667
ABV;transferstandardCF;0.291666667
ABV;transferstandardCRFS;0.291666667
ABV;transferstandardEC;0.291666667
ABV;transferstandardEE;0.291666667
ABV;transferstandardEF;0.291666667
ABV;transferstandardERFS;0.291666667
ABV;transferstandardFC;0.291666667
ABV;transferstandardFE;0.291666667
ABV;transferstandardFF;0.291666667
ABV;transferstandardFRFS;0.291666667
ABV;transferstandardRFSC;0.291666667
ABV;transferstandardRFSE;0.291666667
ABV;transferstandardRFSF;0.291666667
ABV;transferstandardRFSRFS;0.291666667
ABZ;exportmailF;0.020833333
ABZ;exportmailRFS;0.020833333
ABZ;exportpremiumF;0.020833333
ABZ;exportpremiumRFS;0.020833333
ABZ;exportstandardF;0.020833333
ABZ;exportstandardRFS;0.020833333
ABZ;importmailF;0.1875
ABZ;importmailRFS;0.1875
ABZ;importpremiumF;0.208333333
ABZ;importpremiumRFS;0.208333333
ABZ;importstandardF;0.1875
ABZ;importstandardRFS;0.1875
ABZ;transfermailRFSRFS;0.1875
ABZ;transferstandardRFSRFS;0.1875
ACC;exportmailE;0.013888889
ACC;exportpremiumE;0.055555556
ACC;exportstandardE;0.013888889
ACC;importmailE;0.208333333
ACC;importpremiumE;0.208333333
ACC;importstandardE;0.208333333
ADA;exportmailRFS;0.041666667
ADA;exportpremiumRFS;0.0625
ADA;exportstandardRFS;0.041666667
ADA;importmailRFS;0.03125
ADA;importpremiumRFS;0.041666667
ADA;importstandardRFS;0.03125
ADA;transfermailRFSRFS;0.333333333
ADA;transferpremiumRFSRFS;0.333333333
ADA;transferstandardRFSRFS;0.333333333
ADB;exportmailC;0.041666667
ADB;exportmailE;0.041666667
ADB;exportmailF;0.041666667
ADB;exportmailRFS;0.041666667
ADB;exportpremiumC;0.083333333
ADB;exportpremiumE;0.083333333
ADB;exportpremiumF;0.083333333
ADB;exportpremiumRFS;0.083333333
ADB;exportstandardC;0.041666667
ADB;exportstandardE;0.041666667
ADB;exportstandardF;0.041666667
ADB;exportstandardRFS;0.041666667
ADB;importmailC;0.25
ADB;importmailE;0.25
ADB;importmailF;0.333333333
ADB;importmailRFS;0.125
ADB;importpremiumC;0.291666667
ADB;importpremiumE;0.291666667
ADB;importpremiumF;0.333333333
ADB;importpremiumRFS;0.166666667
ADB;importstandardC;0.25
ADB;importstandardE;0.25
ADB;importstandardF;0.333333333
ADB;importstandardRFS;0.125
ADD;exportmailC;0.125
ADD;exportmailE;0.125
ADD;exportmailF;0.125
ADD;exportmailRFS;0.125
ADD;exportpremiumC;0.208333333
ADD;exportpremiumE;0.208333333
ADD;exportpremiumF;0.208333333
ADD;exportpremiumRFS;0.208333333
ADD;exportstandardC;0.125
ADD;exportstandardE;0.125
ADD;exportstandardF;0.125
ADD;exportstandardRFS;0.125
ADD;importmailC;0.125
ADD;importmailE;0.125
ADD;importmailF;0.125
ADD;importmailRFS;0.125
ADD;importpremiumC;0.125
ADD;importpremiumE;0.125
ADD;importpremiumF;0.125
ADD;importpremiumRFS;0.125
ADD;importstandardC;0.125
ADD;importstandardE;0.125
ADD;importstandardF;0.125
ADD;importstandardRFS;0.125
ADL;importmailC;0.083333333
ADL;importmailE;0.083333333
ADL;importmailF;0.083333333
ADL;importmailRFS;0.083333333
ADL;importstandardC;0.083333333
ADL;importstandardE;0.083333333
ADL;importstandardF;0.083333333
ADL;importstandardRFS;0.083333333
AES;importmailC;0.0625
AES;importmailE;0.0625
AES;importmailF;0.0625
AES;importmailRFS;0.0625
AES;importstandardC;0.0625
AES;importstandardE;0.0625
AES;importstandardF;0.0625
AES;importstandardRFS;0.0625
AGP;exportmailE;0.125
AGP;exportpremiumE;0.125
AGP;exportstandardE;0.125
AGP;importmailE;0.125
AGP;importpremiumE;0.125
AGP;importstandardE;0.125
AGP;transfermailEE;0.145833333
AGP;transferpremiumEE;0.145833333
AGP;transferstandardEE;0.145833333
AKL;exportmailC;0.0625
AKL;exportmailE;0.0625
AKL;exportpremiumC;0.291666667
AKL;exportpremiumE;0.291666667
AKL;exportpremiumRFS;0.291666667
AKL;exportstandardC;0.0625
AKL;exportstandardE;0.0625
AKL;importmailC;0.083333333
AKL;importmailE;0.083333333
AKL;importmailF;0.083333333
AKL;importpremiumC;0.291666667
AKL;importpremiumE;0.291666667
AKL;importpremiumRFS;0.291666667
AKL;importstandardC;0.083333333
AKL;importstandardE;0.083333333
AKL;importstandardF;0.083333333
AKL;transfermailCC;0.5
AKL;transfermailCE;0.5
AKL;transfermailEC;0.5
AKL;transfermailEE;0.5
AKL;transferpremiumCC;0.666666667
AKL;transferpremiumCE;0.666666667
AKL;transferpremiumCRFS;0.666666667
AKL;transferpremiumEC;0.666666667
AKL;transferpremiumEE;0.666666667
AKL;transferpremiumERFS;0.666666667
AKL;transferpremiumRFSC;0.666666667
AKL;transferpremiumRFSE;0.666666667
AKL;transferpremiumRFSRFS;0.666666667
AKL;transferstandardCC;0.5
AKL;transferstandardCE;0.5
AKL;transferstandardEC;0.5
AKL;transferstandardEE;0.5
ALA;exportmailC;0.041666667
ALA;exportmailE;0.041666667
ALA;exportpremiumC;0.083333333
ALA;exportpremiumE;0.083333333
ALA;exportstandardC;0.041666667
ALA;exportstandardE;0.041666667
ALA;importmailC;0.75
ALA;importmailE;0.5
ALA;importpremiumC;0.875
ALA;importpremiumE;0.625
ALA;importstandardC;0.75
ALA;importstandardE;0.5
ALB;exportmailE;0.125
ALB;exportmailRFS;0.125
ALB;exportpremiumE;0.25
ALB;exportpremiumRFS;0.25
ALB;exportstandardE;0.125
ALB;exportstandardRFS;0.125
ALB;importmailE;0.125
ALB;importmailRFS;0.125
ALB;importpremiumE;0.25
ALB;importpremiumRFS;0.25
ALB;importstandardE;0.125
ALB;importstandardRFS;0.125
ALB;transfermailEE;0.25
ALB;transfermailERFS;0.25
ALB;transfermailRFSE;0.25
ALB;transfermailRFSRFS;0.25
ALB;transferpremiumEE;0.5
ALB;transferpremiumERFS;0.5
ALB;transferpremiumRFSE;0.5
ALB;transferpremiumRFSRFS;0.5
ALB;transferstandardEE;0.25
ALB;transferstandardERFS;0.25
ALB;transferstandardRFSE;0.25
ALB;transferstandardRFSRFS;0.25
ALC;exportmailRFS;0.041666667
ALC;exportpremiumRFS;0.041666667
ALC;exportstandardRFS;0.041666667
ALC;importmailRFS;0.333333333
ALC;importpremiumRFS;0.333333333
ALC;importstandardRFS;0.333333333
ALY;exportmailC;0.5
ALY;exportmailE;0.5
ALY;exportmailF;0.5
ALY;exportmailRFS;0.5
ALY;exportstandardC;0.5
ALY;exportstandardE;0.5
ALY;exportstandardF;0.5
ALY;exportstandardRFS;0.5
ALY;importmailC;0.520833333
